6Z2pym4J, 22.04.2023 16:00, Bournemouth, West Ham, 32, Scheduled, 0, 0, X
6coXRrR5, 22.04.2023 16:00, Leicester, Wolves, 32, Scheduled, 0, 0, X
6eAg08di, 26.12.2022 17:00, Arsenal, West Ham, 17, Scheduled, 0, 0, X
6m6PwU23, 08.04.2023 16:00, Brentford, Newcastle, 30, Scheduled, 0, 0, X
8INkdWJN, 11.03.2023 17:00, Newcastle, Wolves, 27, Scheduled, 0, 0, X
8MD1DUgM, 04.02.2023 17:00, Manchester Utd, Crystal Palace, 22, Scheduled, 0, 0, X
8McwHiw0, 14.01.2023 17:00, Manchester Utd, Manchester City, 20, Scheduled, 0, 0, X
8Q1p4BbI, 24.10.2022 21:00, West Ham, Bournemouth, 13, Scheduled, 0, 0, X
8QmkYkDb, 05.11.2022 17:00, Leeds, Bournemouth, 15, Scheduled, 0, 0, X
8SErvIuk, 26.12.2022 17:00, Leeds, Manchester City, 17, Scheduled, 0, 0, X
8SjUlKyH, 03.10.2022 21:00, Leicester, Nottingham, 9, Scheduled, 0, 0, X
8UyYOWHf, 03.09.2022 16:00, Newcastle, Crystal Palace, 6, Scheduled, 0, 0, X
8hIGIeeL, 30.08.2022 21:00, Leeds, Everton, 5, Scheduled, 0, 0, X
8nsUkFv1, 31.12.2022 17:00, Tottenham, Aston Villa, 18, Scheduled, 0, 0, X
8tCoSW3i, 01.04.2023 16:00, Bournemouth, Fulham, 29, Scheduled, 0, 0, X
8tlwIntp, 01.04.2023 16:00, Newcastle, Manchester Utd, 29, Scheduled, 0, 0, X
8xEkcRM7, 13.05.2023 16:00, Southampton, Fulham, 36, Scheduled, 0, 0, X
8xxb7BpF, 13.05.2023 16:00, Brentford, West Ham, 36, Scheduled, 0, 0, X
21x4Sf0J, 15.04.2023 16:00, Wolves, Brentford, 31, Scheduled, 0, 0, X
23ixII53, 14.10.2022 21:00, Brentford, Brighton, 11, Scheduled, 0, 0, X
23msH6ej, 01.04.2023 16:00, Nottingham, Wolves, 29, Scheduled, 0, 0, X
29OTqmCA, 12.11.2022 17:00, Manchester City, Brentford, 16, Scheduled, 0, 0, X
44uBwtQH, 26.04.2023 20:45, Chelsea, Brentford, 33, Scheduled, 0, 0, X
48wxxgFP, 21.01.2023 17:00, Bournemouth, Nottingham, 21, Scheduled, 0, 0, X
67zfPq60, 28.05.2023 17:00, Leeds, Tottenham, 38, Scheduled, 0, 0, X
69FSiWpS, 06.05.2023 16:00, Newcastle, Arsenal, 35, Scheduled, 0, 0, X
84hsj9Gg, 17.09.2022 16:00, Everton, West Ham, 8, Scheduled, 0, 0, X
84rHsX4U, 04.03.2023 17:00, Wolves, Tottenham, 26, Scheduled, 0, 0, X
86ckXfAE, 03.09.2022 16:00, Brentford, Leeds, 6, Scheduled, 0, 0, X
A1YH13KT, 20.08.2022 13:30, Tottenham, Wolves, 3, Scheduled, 0, 0, X
